"generated","run_environment","runner_marker","overall","captured","charted","latest_only","not_captured","fetches_attempted","rows_fresh_from_source","rows_kept_prior","observations_fetched","raw_files_written","families_attempted","families_succeeded","families_failed","capture_started_at_utc","capture_completed_at_utc","kept_prior_row_ids"
"2026-06-12T02:08:49Z","local","host=DESKTOP-IBANGKR","FAILURE","41","41","0","22","41","41","0","19115","20","4","4","0","2026-06-12T02:07:26Z","2026-06-12T02:08:39Z",""
"2026-06-12T02:14:28Z","local","host=DESKTOP-IBANGKR","PASS","41","41","0","22","41","41","0","19115","20","4","4","0","2026-06-12T02:13:04Z","2026-06-12T02:14:17Z",""
"2026-06-12T02:19:46Z","local","host=DESKTOP-IBANGKR","FAILURE","41","41","0","22","41","41","0","19115","20","4","4","0","2026-06-12T02:18:22Z","2026-06-12T02:19:34Z",""
"2026-06-12T02:22:38Z","local","host=DESKTOP-IBANGKR","PASS","41","41","0","22","41","41","0","19115","20","4","4","0","2026-06-12T02:21:06Z","2026-06-12T02:22:26Z",""
"2026-06-12T02:34:11Z","local","host=DESKTOP-IBANGKR","FAILURE","41","41","0","22","41","41","0","19115","20","4","4","0","2026-06-12T02:32:32Z","2026-06-12T02:33:52Z",""
"2026-06-12T02:36:34Z","local","host=DESKTOP-IBANGKR","PASS","41","41","0","22","41","41","0","19115","20","4","4","0","2026-06-12T02:35:03Z","2026-06-12T02:36:15Z",""
"2026-06-28T11:03:45Z","local","host=DESKTOP-IBANGKR","PASS","41","41","0","22","41","41","0","19126","20","4","4","0","2026-06-28T11:01:02Z","2026-06-28T11:03:07Z",""
"2026-06-28T13:04:16Z","local","host=DESKTOP-IBANGKR","FAILURE","59","59","0","3","59","59","0","31060","36","7","7","0","2026-06-28T13:00:01Z","2026-06-28T13:03:31Z",""
"2026-06-28T13:12:17Z","local","host=DESKTOP-IBANGKR","PASS","59","59","0","3","59","59","0","31060","36","7","7","0","2026-06-28T13:08:58Z","2026-06-28T13:11:36Z",""
"2026-06-28T14:16:13Z","local","host=DESKTOP-IBANGKR","PASS","59","59","0","3","59","59","0","31060","36","7","7","0","2026-06-28T14:12:03Z","2026-06-28T14:14:42Z",""
"2026-06-28T14:47:59Z","github_actions","runner=GitHub Actions; os=Windows; run_id=28325752386; sha=0c6579581d374cd574085ee5b6ac8f920a4ede90","PASS","59","59","0","3","59","55","4","23994","32","7","6","1","2026-06-28T14:42:40Z","2026-06-28T14:45:36Z","EN-003;EN-004;EN-005;EN-006"
"2026-06-28T15:22:38Z","github_actions","runner=GitHub Actions; os=Windows; run_id=28326732544; sha=c2e37a6773d20e29dfd5ba506c9adeb531f681da","PASS","59","59","0","3","59","55","4","23994","32","7","6","1","2026-06-28T15:18:16Z","2026-06-28T15:21:02Z","EN-003;EN-004;EN-005;EN-006"
