"month","unit","raw_state","published_state","candidate_state","candidate_streak","score","breadth_pct","momentum_3m_med","voters","stale_voters","note"
"2026-05","S1","escalating","escalating","","0","0.895","89.5","8.7","11","","initial"
"2026-05","S2","tightening","tightening","","0","0.296","44.4","5.2","15","","initial"
"2026-05","S3","tightening","tightening","","0","0.5","61.1","5.2","10","","initial"
"2026-05","S4","escalating","escalating","","0","0.913","91.3","17.5","14","","initial"
"2026-05","S5","tightening","tightening","","0","0.5","50","1.5","9","","initial"
"2026-05","composite","tightening","tightening","","0","0.619","68","6.2","59","","initial"
"2026-06","S1","escalating","escalating","","0","0.842","84.2","4.2","11","",""
"2026-06","S2","easing","tightening","easing","1","-0.296","18.5","-3.3","15","","candidate easing (streak 1 of 2 distinct months)"
"2026-06","S3","tightening","tightening","","0","0.375","56.2","3.1","9","SG-003",""
"2026-06","S4","stable","escalating","stable","1","0.087","8.7","-2","14","","candidate stable (streak 1 of 2 distinct months)"
"2026-06","S5","tightening","tightening","","0","0.3","30","1.4","9","",""
"2026-06","composite","stable","tightening","stable","1","0.2","36.8","0.4","58","SG-003","candidate stable (streak 1 of 2 distinct months)"
"2026-07","S1","tightening","escalating","tightening","1","0.368","47.4","0.3","11","","candidate tightening (streak 1 of 2 distinct months)"
"2026-07","S2","stable","tightening","stable","1","0","22.2","0","15","","candidate stable (streak 1 of 2 distinct months)"
"2026-07","S3","stable","tightening","stable","1","0.056","33.3","-0.3","10","","candidate stable (streak 1 of 2 distinct months)"
"2026-07","S4","tightening","escalating","tightening","1","0.273","27.3","0.1","13","FR-001","candidate tightening (streak 1 of 2 distinct months)"
"2026-07","S5","tightening","tightening","","0","0.3","30","1.2","9","",""
"2026-07","composite","stable","stable","","0","0.177","31.2","0.2","58","FR-001",""
